,_id,_score,cluster,entrezgene,name,notfound,symbol,taxid
SRRM1,100521629,55.945923,7,100521629,serine and arginine repetitive matrix 1,,SRRM1,9823.0
SRRM3,102159887,57.64958,7,102159887,serine/arginine repetitive matrix 3,,SRRM3,9823.0
SS18L1,100626561,54.459553,7,100626561,SS18L1 subunit of BAF chromatin remodeling complex,,SS18L1,9823.0
SS18L2,100523140,56.386562,7,100523140,SS18 like 2,,SS18L2,9823.0
SSC4D,100511317,58.860535,7,100511317,scavenger receptor cysteine rich family member with 4 domains,,SSC4D,9823.0
SSTR1,397004,58.25304,7,397004,somatostatin receptor 1,,SSTR1,9823.0
ST6GALNAC1,100622490,56.74514,7,100622490,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",,ST6GALNAC1,9823.0
STAC3,100627117,55.521873,7,100627117,SH3 and cysteine rich domain 3,,STAC3,9823.0
STARD10,100511029,54.311394,7,100511029,StAR related lipid transfer domain containing 10,,STARD10,9823.0
STAT2,396923,56.83565,7,396923,signal transducer and activator of transcription 2,,STAT2,9823.0
STEAP4,100310802,55.76014,7,100310802,STEAP4 metalloreductase,,STEAP4,9823.0
STK16,100153147,54.958706,7,100153147,serine/threonine kinase 16,,STK16,9823.0
STK24,100154569,57.618904,7,100154569,serine/threonine kinase 24,,STK24,9823.0
STK32A,100622368,56.14773,7,100622368,serine/threonine kinase 32A,,STK32A,9823.0
STMN3,110257413,56.047253,7,110257413,stathmin 3,,STMN3,9823.0
STMND1,100524942,57.361755,7,100524942,stathmin domain containing 1,,STMND1,9823.0
STON2,100157426,57.87108,7,100157426,stonin 2,,STON2,9823.0
STRA6,100153335,55.78691,7,100153335,signaling receptor and transporter of retinol STRA6,,STRA6,9823.0
STRA8,100525138,57.29809,7,100525138,stimulated by retinoic acid 8,,STRA8,9823.0
STRBP,100511979,54.831337,7,100511979,spermatid perinuclear RNA binding protein,,STRBP,9823.0
STRC,100519812,56.726234,7,100519812,stereocilin,,STRC,9823.0
STRIP2,100517565,56.151054,7,100517565,striatin interacting protein 2,,STRIP2,9823.0
STRN4,100513929,56.786457,7,100513929,striatin 4,,STRN4,9823.0
STUB1,100511251,54.76686,7,100511251,STIP1 homology and U-box containing protein 1,,STUB1,9823.0
STX3,100520886,56.307213,7,100520886,syntaxin 3,,STX3,9823.0
STXBP5L,100620808,55.296547,7,100620808,syntaxin binding protein 5 like,,STXBP5L,9823.0
SUCNR1,100739158,56.14744,7,100739158,succinate receptor 1,,SUCNR1,9823.0
SULF1,100152427,53.345303,7,100152427,sulfatase 1,,SULF1,9823.0
SUN3,100627860,57.494015,7,100627860,Sad1 and UNC84 domain containing 3,,SUN3,9823.0
SUSD5,110256562,57.560272,7,110256562,sushi domain containing 5,,SUSD5,9823.0
SV2A,100156610,57.793175,7,100156610,synaptic vesicle glycoprotein 2A,,SV2A,9823.0
SV2B,100157784,57.388767,7,100157784,synaptic vesicle glycoprotein 2B,,SV2B,9823.0
SVIL,100518681,55.896317,7,100518681,supervillin,,SVIL,9823.0
SVOPL,100519751,55.97761,7,100519751,SVOP like,,SVOPL,9823.0
SYBU,100157483,55.63459,7,100157483,syntabulin,,SYBU,9823.0
SYCE1,100156954,57.938797,7,100156954,synaptonemal complex central element protein 1,,SYCE1,9823.0
SYCP3,100523378,56.431488,7,100523378,synaptonemal complex protein 3,,SYCP3,9823.0
SYN3,100519024,54.538315,7,100519024,synapsin III,,SYN3,9823.0
SYNGR1,100626046,57.01282,7,100626046,synaptogyrin 1,,SYNGR1,9823.0
SYNGR3,100515947,56.60622,7,100515947,synaptogyrin 3,,SYNGR3,9823.0
SYNPO,110259543,55.793243,7,110259543,synaptopodin,,SYNPO,9823.0
SYP,100512029,56.819756,7,100512029,synaptophysin,,SYP,9823.0
SYT10,100158038,56.15364,7,100158038,synaptotagmin 10,,SYT10,9823.0
SYT12,100625267,56.966816,7,100625267,synaptotagmin 12,,SYT12,9823.0
SYT5,100626439,59.874767,7,100626439,synaptotagmin 5,,SYT5,9823.0
SYTL1,100511935,56.89857,7,100511935,synaptotagmin like 1,,SYTL1,9823.0
TAC3,492314,57.46166,7,492314,tachykinin precursor 3,,TAC3,9823.0
TAC4,100511101,57.577827,7,100511101,tachykinin precursor 4,,TAC4,9823.0
TACC2,100152804,56.244102,7,100152804,transforming acidic coiled-coil containing protein 2,,TACC2,9823.0
TACR1,110259991,56.539494,7,110259991,tachykinin receptor 1,,TACR1,9823.0
TACR2,100151877,56.651608,7,100151877,tachykinin receptor 2,,TACR2,9823.0
TACR3,100521983,56.67583,7,100521983,tachykinin receptor 3,,TACR3,9823.0
TAF5L,100155476,55.23581,7,100155476,TATA-box binding protein associated factor 5 like,,TAF5L,9823.0
TAL1,100521731,54.02763,7,100521731,"TAL bHLH transcription factor 1, erythroid differentiation factor",,TAL1,9823.0
TAL2,100154895,54.378304,7,100154895,TAL bHLH transcription factor 2,,TAL2,9823.0
TAPBPL,100520908,56.777977,7,100520908,TAP binding protein like,,TAPBPL,9823.0
TAS2R4,100620853,62.331547,7,100620853,taste 2 receptor member 4,,TAS2R4,9823.0
TAS2R7,100523246,61.108086,7,100523246,taste 2 receptor member 7,,TAS2R7,9823.0
TAS2R9,100522867,62.267075,7,100522867,taste 2 receptor member 9,,TAS2R9,9823.0
TAT,100511756,55.13001,7,100511756,tyrosine aminotransferase,,TAT,9823.0
TBC1D21,100152488,56.944355,7,100152488,TBC1 domain family member 21,,TBC1D21,9823.0
TBC1D2B,100156840,54.93952,7,100156840,TBC1 domain family member 2B,,TBC1D2B,9823.0
TBX19,100151956,54.914673,7,100151956,T-box transcription factor 19,,TBX19,9823.0
TC2N,100156455,54.449303,7,100156455,"tandem C2 domains, nuclear",,TC2N,9823.0
TCEA3,100624383,56.135155,7,100624383,transcription elongation factor A3,,TCEA3,9823.0
TCEAL1,100524474,59.056625,7,100524474,transcription elongation factor A like 1,,TCEAL1,9823.0
TCN1,396873,58.55898,7,396873,transcobalamin 1,,TCN1,9823.0
TCTEX1D1,100628189,56.67583,7,100628189,Tctex1 domain containing 1,,TCTEX1D1,9823.0
TDRD6,100156566,56.45392,7,100156566,tudor domain containing 6,,TDRD6,9823.0
TDRKH,100622748,54.67887,7,100622748,tudor and KH domain containing,,TDRKH,9823.0
TECRL,100621613,61.626404,7,100621613,"trans-2,3-enoyl-CoA reductase like",,TECRL,9823.0
TEFM,100522515,57.897934,7,100522515,"transcription elongation factor, mitochondrial",,TEFM,9823.0
TEK,396729,55.271828,7,396729,TEK receptor tyrosine kinase,,TEK,9823.0
TEKT1,100520803,58.196022,7,100520803,tektin 1,,TEKT1,9823.0
TENM3,100512817,56.041344,7,100512817,teneurin transmembrane protein 3,,TENM3,9823.0
TENT5C,100525341,54.92102,7,100525341,terminal nucleotidyltransferase 5C,,TENT5C,9823.0
TERB1,110260937,53.726524,7,110260937,telomere repeat binding bouquet formation protein 1,,TERB1,9823.0
TERB2,100516583,56.373497,7,100516583,telomere repeat binding bouquet formation protein 2,,TERB2,9823.0
TESMIN,100520538,57.339302,7,100520538,testis expressed metallothionein like protein,,TESMIN,9823.0
TET1,100625859,56.08807,7,100625859,tet methylcytosine dioxygenase 1,,TET1,9823.0
TEX14,100737915,55.63665,7,100737915,"testis expressed 14, intercellular bridge forming factor",,TEX14,9823.0
TEX26,100516873,58.748535,7,100516873,testis expressed 26,,TEX26,9823.0
TEX36,100521931,56.653294,7,100521931,testis expressed 36,,TEX36,9823.0
TEX37,100513533,57.897934,7,100513533,testis expressed 37,,TEX37,9823.0
TEX38,100738423,60.501675,7,100738423,testis expressed 38,,TEX38,9823.0
TEX48,106509239,61.2863,7,106509239,testis expressed 48,,TEX48,9823.0
TEX50,100516287,59.72771,7,100516287,testis expressed 50,,TEX50,9823.0
TF,396845,60.78648,7,396845,transferrin,,TF,9823.0
TF,396996,59.787785,7,396996,transferrin,,TF,9823.0
TFAP2A,100049668,56.482487,7,100049668,transcription factor AP-2 alpha,,TFAP2A,9823.0
TFAP2E,100623903,55.022335,7,100623903,transcription factor AP-2 epsilon,,TFAP2E,9823.0
TFCP2L1,100519339,57.086365,7,100519339,transcription factor CP2 like 1,,TFCP2L1,9823.0
TFEC,100517204,54.03029,7,100517204,transcription factor EC,,TFEC,9823.0
TG,100156471,56.230907,7,100156471,thyroglobulin,,TG,9823.0
TGFBI,100519300,56.505035,7,100519300,transforming growth factor beta induced,,TGFBI,9823.0
TGFBR3L,100520601,60.59027,7,100520601,transforming growth factor beta receptor 3 like,,TGFBR3L,9823.0
TGIF2,110257437,57.031292,7,110257437,TGFB induced factor homeobox 2,,TGIF2,9823.0
TGM5,100158178,59.133278,7,100158178,transglutaminase 5,,TGM5,9823.0
TGM7,100152931,59.872734,7,100152931,transglutaminase 7,,TGM7,9823.0
THBD,100157642,58.039364,7,100157642,thrombomodulin,,THBD,9823.0
THBS4,100513005,56.96066,7,100513005,thrombospondin 4,,THBS4,9823.0
THEGL,100521633,57.42973,7,100521633,theg spermatid protein like,,THEGL,9823.0
THEMIS,100737188,57.339302,7,100737188,thymocyte selection associated,,THEMIS,9823.0
THPO,100620258,56.468224,7,100620258,thrombopoietin,,THPO,9823.0
THRA,397387,54.387585,7,397387,thyroid hormone receptor alpha,,THRA,9823.0
THRSP,100512730,56.4909,7,100512730,thyroid hormone responsive,,THRSP,9823.0
TIGIT,100624099,59.348797,7,100624099,T cell immunoreceptor with Ig and ITIM domains,,TIGIT,9823.0
TJP1,100736682,57.3956,7,100736682,tight junction protein 1,,TJP1,9823.0
TJP3,100626455,58.26511,7,100626455,tight junction protein 3,,TJP3,9823.0
TLDC2,100158114,57.637703,7,100158114,TBC/LysM-associated domain containing 2,,TLDC2,9823.0
TLE5,110259367,56.346394,7,110259367,"TLE family member 5, transcriptional modulator",,TLE5,9823.0
TLR1,396607,60.180504,7,396607,toll like receptor 1,,TLR1,9823.0
TLR2,396623,57.500652,7,396623,toll like receptor 2,,TLR2,9823.0
TLR2,101055472,57.04945,7,101055472,Toll-like receptor 2 level,,TLR2,9823.0
TLR2,101055400,56.62781,7,101055400,Toll-like receptor 2 level,,TLR2,9823.0
TLR2,101055073,56.1449,7,101055073,Toll-like receptor 2 level,,TLR2,9823.0
TLR2,101055074,56.133347,7,101055074,Toll-like receptor 2 level,,TLR2,9823.0
TMC2,100739527,58.215496,7,100739527,transmembrane channel like 2,,TMC2,9823.0
TMC4,100521320,59.774097,7,100521320,transmembrane channel like 4,,TMC4,9823.0
TMCO5A,100152005,60.53779,7,100152005,transmembrane and coiled-coil domains 5A,,TMCO5A,9823.0
TMEM100,100523465,55.740314,7,100523465,transmembrane protein 100,,TMEM100,9823.0
TMEM117,100524623,56.66683,7,100524623,transmembrane protein 117,,TMEM117,9823.0
TMEM120A,100622231,56.17807,7,100622231,transmembrane protein 120A,,TMEM120A,9823.0
TMEM178A,100738444,58.07933,7,100738444,transmembrane protein 178A,,TMEM178A,9823.0
TMEM181,100156875,53.08535,7,100156875,transmembrane protein 181,,TMEM181,9823.0
TMEM202,100153702,61.755898,7,100153702,transmembrane protein 202,,TMEM202,9823.0
TMEM207,100625461,59.124638,7,100625461,transmembrane protein 207,,TMEM207,9823.0
TMEM208,100523188,54.234657,7,100523188,transmembrane protein 208,,TMEM208,9823.0
TMEM215,100512303,58.870434,7,100512303,transmembrane protein 215,,TMEM215,9823.0
TMEM217,100155839,60.10208,7,100155839,transmembrane protein 217,,TMEM217,9823.0
TMEM239,106504177,58.56504,7,106504177,transmembrane protein 239,,TMEM239,9823.0
TMEM242,100152509,56.873352,7,100152509,transmembrane protein 242,,TMEM242,9823.0
TMEM247,100524739,59.97746,7,100524739,transmembrane protein 247,,TMEM247,9823.0
TMEM249,100154454,57.936295,7,100154454,transmembrane protein 249,,TMEM249,9823.0
TMEM253,100623276,58.958828,7,100623276,transmembrane protein 253,,TMEM253,9823.0
TMEM270,100512772,60.758404,7,100512772,transmembrane protein 270,,TMEM270,9823.0
TMEM47,100157181,56.674274,7,100157181,transmembrane protein 47,,TMEM47,9823.0
TMEM52B,100524496,59.311184,7,100524496,transmembrane protein 52B,,TMEM52B,9823.0
TMEM59L,100511310,57.87432,7,100511310,transmembrane protein 59 like,,TMEM59L,9823.0
TMEM64,100517583,56.36423,7,100517583,transmembrane protein 64,,TMEM64,9823.0
TMEM71,100157293,56.84181,7,100157293,transmembrane protein 71,,TMEM71,9823.0
TMEM74,100525987,55.140854,7,100525987,transmembrane protein 74,,TMEM74,9823.0
TMEM81,100626729,56.53534,7,100626729,transmembrane protein 81,,TMEM81,9823.0
TMEM88,100523138,58.95741,7,100523138,transmembrane protein 88,,TMEM88,9823.0
TMEM88B,100526055,56.89857,7,100526055,transmembrane protein 88B,,TMEM88B,9823.0
TMEM92,100515686,58.23083,7,100515686,transmembrane protein 92,,TMEM92,9823.0
TMEM9B,100519788,56.4649,7,100519788,TMEM9 domain family member B,,TMEM9B,9823.0
TMIE,106505595,57.294163,7,106505595,transmembrane inner ear,,TMIE,9823.0
TMOD2,100157165,56.726234,7,100157165,tropomodulin 2,,TMOD2,9823.0
TMPRSS4,100514419,55.644154,7,100514419,transmembrane serine protease 4,,TMPRSS4,9823.0
TMPRSS9,100621666,55.446148,7,100621666,transmembrane serine protease 9,,TMPRSS9,9823.0
TMTC1,100624475,52.542107,7,100624475,transmembrane O-mannosyltransferase targeting cadherins 1,,TMTC1,9823.0
TNFAIP6,100286870,55.639343,7,100286870,TNF alpha induced protein 6,,TNFAIP6,9823.0
TNFAIP8L2,100155916,55.540928,7,100155916,TNF alpha induced protein 8 like 2,,TNFAIP8L2,9823.0
TNFAIP8L3,100522001,55.553963,7,100522001,TNF alpha induced protein 8 like 3,,TNFAIP8L3,9823.0
TNFRSF11A,100521706,56.59498,7,100521706,TNF receptor superfamily member 11a,,TNFRSF11A,9823.0
TNFRSF1B,100037306,57.918022,7,100037306,TNF receptor superfamily member 1B,,TNFRSF1B,9823.0
TNFSF11,100037976,54.298477,7,100037976,TNF superfamily member 11,,TNFSF11,9823.0
TNFSF14,100519468,58.871418,7,100519468,TNF superfamily member 14,,TNFSF14,9823.0
TNIP2,100518977,55.943085,7,100518977,TNFAIP3 interacting protein 2,,TNIP2,9823.0
TNK1,100621720,58.052803,7,100621720,tyrosine kinase non receptor 1,,TNK1,9823.0
TNN,102163961,56.322304,7,102163961,tenascin N,,TNN,9823.0
TNNI3,100049696,57.323856,7,100049696,"troponin I3, cardiac type",,TNNI3,9823.0
TNP1,100513764,60.269283,7,100513764,transition protein 1,,TNP1,9823.0
TNS1,100514801,55.66809,7,100514801,tensin 1,,TNS1,9823.0
TNS2,100156301,55.396885,7,100156301,tensin 2,,TNS2,9823.0
TOE1,100513546,55.182243,7,100513546,"target of EGR1, exonuclease",,TOE1,9823.0
TOPAZ1,100624393,56.74514,7,100624393,testis and ovary specific PAZ domain containing 1,,TOPAZ1,9823.0
TOX2,100738797,56.14357,7,100738797,TOX high mobility group box family member 2,,TOX2,9823.0
TPD52L1,100515246,57.031197,7,100515246,TPD52 like 1,,TPD52L1,9823.0
TPM3,414388,55.022335,7,414388,tropomyosin 3,,TPM3,9823.0
TPPP3,100521665,57.294163,7,100521665,tubulin polymerization promoting protein family member 3,,TPPP3,9823.0
TRAF3IP3,110255538,57.439884,7,110255538,TRAF3 interacting protein 3,,TRAF3IP3,9823.0
TRAF4,100518396,54.74731,7,100518396,TNF receptor associated factor 4,,TRAF4,9823.0
TRANK1,102163142,56.416267,7,102163142,tetratricopeptide repeat and ankyrin repeat containing 1,,TRANK1,9823.0
TRDN,102166405,59.569702,7,102166405,triadin,,TRDN,9823.0
TRHDE,100620702,55.20071,7,100620702,thyrotropin releasing hormone degrading enzyme,,TRHDE,9823.0
TRIM15,100144461,60.691223,7,100144461,tripartite motif containing 15,,TRIM15,9823.0
TRIM17,100515821,61.337578,7,100515821,tripartite motif containing 17,,TRIM17,9823.0
TRIM2,100627416,56.34426,7,100627416,tripartite motif containing 2,,TRIM2,9823.0
TRIM36,100519890,56.607185,7,100519890,tripartite motif containing 36,,TRIM36,9823.0
TRIM40,100294687,59.787785,7,100294687,tripartite motif containing 40,,TRIM40,9823.0
TRIM54,100689265,58.652515,7,100689265,tripartite motif containing 54,,TRIM54,9823.0
TRIM58,100519825,60.339245,7,100519825,tripartite motif containing 58,,TRIM58,9823.0
TRIM69,100738487,57.28584,7,100738487,tripartite motif containing 69,,TRIM69,9823.0
TRIM71,100623572,56.65619,7,100623572,tripartite motif containing 71,,TRIM71,9823.0
TRIML2,100737283,58.896908,7,100737283,tripartite motif family like 2,,TRIML2,9823.0
TRMT10B,100153604,55.45456,7,100153604,tRNA methyltransferase 10B,,TRMT10B,9823.0
TRMT9B,100525134,54.48614,7,100525134,tRNA methyltransferase 9B (putative),,TRMT9B,9823.0
TRPA1,100152934,55.177113,7,100152934,transient receptor potential cation channel subfamily A member 1,,TRPA1,9823.0
TRPM1,100158130,57.27722,7,100158130,transient receptor potential cation channel subfamily M member 1,,TRPM1,9823.0
TRPM4,102167071,56.963493,7,102167071,transient receptor potential cation channel subfamily M member 4,,TRPM4,9823.0
TRPM6,100157775,55.67276,7,100157775,transient receptor potential cation channel subfamily M member 6,,TRPM6,9823.0
TRPM8,100513692,56.786457,7,100513692,transient receptor potential cation channel subfamily M member 8,,TRPM8,9823.0
TRPV4,100126845,54.599174,7,100126845,transient receptor potential cation channel subfamily V member 4,,TRPV4,9823.0
TRRAP,106509633,54.874577,7,106509633,transformation/transcription domain associated protein,,TRRAP,9823.0
TSEN34,100518973,56.139893,7,100518973,tRNA splicing endonuclease subunit 34,,TSEN34,9823.0
TSHB,397658,53.90793,7,397658,thyroid stimulating hormone subunit beta,,TSHB,9823.0
TSHR,397560,56.2536,7,397560,thyroid stimulating hormone receptor,,TSHR,9823.0
TSPAN13,100624728,56.156483,7,100624728,tetraspanin 13,,TSPAN13,9823.0
TSPAN15,110256602,54.939354,7,110256602,tetraspanin 15,,TSPAN15,9823.0
TSPAN16,100519590,57.576466,7,100519590,tetraspanin 16,,TSPAN16,9823.0
TSPAN2,100156161,56.15364,7,100156161,tetraspanin 2,,TSPAN2,9823.0
TSPAN31,100622365,56.81935,7,100622365,tetraspanin 31,,TSPAN31,9823.0
TTC24,100155506,58.08052,7,100155506,tetratricopeptide repeat domain 24,,TTC24,9823.0
TTC5,100157553,58.382343,7,100157553,tetratricopeptide repeat domain 5,,TTC5,9823.0
TTC7B,100154890,56.39789,7,100154890,tetratricopeptide repeat domain 7B,,TTC7B,9823.0
TTLL4,106506366,55.800247,7,106506366,tubulin tyrosine ligase like 4,,TTLL4,9823.0
TTPAL,100157594,55.83088,7,100157594,alpha tocopherol transfer protein like,,TTPAL,9823.0
TUBB4A,100736584,56.944355,7,100736584,tubulin beta 4A class IVa,,TUBB4A,9823.0
TULP1,100152610,55.260242,7,100152610,TUB like protein 1,,TULP1,9823.0
TVP23A,100620244,56.264378,7,100620244,trans-golgi network vesicle protein 23 homolog A,,TVP23A,9823.0
TWNK,100625408,55.609814,7,100625408,twinkle mtDNA helicase,,TWNK,9823.0
TXK,444993,56.2393,7,444993,TXK tyrosine kinase,,TXK,9823.0
TYR,407745,54.833073,7,407745,tyrosinase,,TYR,9823.0
UBE2O,100519047,55.932648,7,100519047,ubiquitin conjugating enzyme E2 O,,UBE2O,9823.0
UBQLN2,110257666,59.311184,7,110257666,ubiquilin 2,,UBQLN2,9823.0
UCMA,100626016,57.426945,7,100626016,upper zone of growth plate and cartilage matrix associated,,UCMA,9823.0
UCP2,397549,57.33116,7,397549,uncoupling protein 2,,UCP2,9823.0
UGT8,100511825,57.503273,7,100511825,UDP glycosyltransferase 8,,UGT8,9823.0
UHRF1,100511003,55.353996,7,100511003,ubiquitin like with PHD and ring finger domains 1,,UHRF1,9823.0
UNC80,100522957,56.02221,7,100522957,"unc-80 homolog, NALCN channel complex subunit",,UNC80,9823.0
UPB1,100155919,54.779568,7,100155919,beta-ureidopropionase 1,,UPB1,9823.0
UPK2,397075,61.63243,7,397075,uroplakin 2,,UPK2,9823.0
UPK3A,397558,56.65602,7,397558,uroplakin 3A,,UPK3A,9823.0
URI1,100627684,55.62466,7,100627684,URI1 prefoldin like chaperone,,URI1,9823.0
UROC1,100157217,54.759518,7,100157217,urocanate hydratase 1,,UROC1,9823.0
USE1,100517081,55.01834,7,100517081,unconventional SNARE in the ER 1,,USE1,9823.0
USHBP1,100620693,59.087128,7,100620693,USH1 protein network component harmonin binding protein 1,,USHBP1,9823.0
USP19,100187735,56.087227,7,100187735,ubiquitin specific peptidase 19,,USP19,9823.0
USP31,102162297,53.469536,7,102162297,ubiquitin specific peptidase 31,,USP31,9823.0
USP49,100739105,54.22402,7,100739105,ubiquitin specific peptidase 49,,USP49,9823.0
USP50,100156336,55.984337,7,100156336,ubiquitin specific peptidase 50,,USP50,9823.0
USP9X,100628154,56.532555,7,100628154,ubiquitin specific peptidase 9 X-linked,,USP9X,9823.0
UTS2B,100626084,56.58176,7,100626084,urotensin 2B,,UTS2B,9823.0
UXS1,100513145,55.67121,7,100513145,UDP-glucuronate decarboxylase 1,,UXS1,9823.0
VAV3,100151826,56.966816,7,100151826,vav guanine nucleotide exchange factor 3,,VAV3,9823.0
VEPH1,100512989,55.45254,7,100512989,ventricular zone expressed PH domain containing 1,,VEPH1,9823.0
VIL1,100156373,56.310104,7,100156373,villin 1,,VIL1,9823.0
VIP,100500718,56.149197,7,100500718,vasoactive intestinal peptide,,VIP,9823.0
VMO1,100512921,56.42044,7,100512921,vitelline membrane outer layer 1 homolog,,VMO1,9823.0
VPS51,100518951,56.050728,7,100518951,VPS51 subunit of GARP complex,,VPS51,9823.0
VSIG10L,100624916,57.59468,7,100624916,V-set and immunoglobulin domain containing 10 like,,VSIG10L,9823.0
VSIG2,100522338,58.264812,7,100522338,V-set and immunoglobulin domain containing 2,,VSIG2,9823.0
VTN,397192,57.2254,7,397192,vitronectin,,VTN,9823.0
VWC2L,100626116,54.612236,7,100626116,von Willebrand factor C domain containing 2 like,,VWC2L,9823.0
VWDE,100512803,55.148262,7,100512803,von Willebrand factor D and EGF domains,,VWDE,9823.0
WDFY2,100512431,54.23162,7,100512431,WD repeat and FYVE domain containing 2,,WDFY2,9823.0
WDFY4,100157904,56.60338,7,100157904,WDFY family member 4,,WDFY4,9823.0
WDR49,100517558,59.789642,7,100517558,WD repeat domain 49,,WDR49,9823.0
WEE2,100048934,54.829285,7,100048934,WEE2 oocyte meiosis inhibiting kinase,,WEE2,9823.0
WFDC1,100514648,59.078297,7,100514648,WAP four-disulfide core domain 1,,WFDC1,9823.0
WFDC2,396987,58.032722,7,396987,WAP four-disulfide core domain 2,,WFDC2,9823.0
WFIKKN1,100623309,55.19935,7,100623309,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1",,WFIKKN1,9823.0
WFIKKN2,100512012,56.14773,7,100512012,"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2",,WFIKKN2,9823.0
WIF1,100512657,55.455036,7,100512657,WNT inhibitory factor 1,,WIF1,9823.0
WIPF3,100514743,56.2536,7,100514743,WAS/WASL interacting protein family member 3,,WIPF3,9823.0
WLS,100516916,55.92375,7,100516916,Wnt ligand secretion mediator,,WLS,9823.0
WNT1,100525462,56.492886,7,100525462,Wnt family member 1,,WNT1,9823.0
WNT10B,100126276,56.48345,7,100126276,Wnt family member 10B,,WNT10B,9823.0
WNT2,100516839,56.04264,7,100516839,Wnt family member 2,,WNT2,9823.0
WNT7B,100626947,55.821236,7,100626947,Wnt family member 7B,,WNT7B,9823.0
WNT8A,100739710,56.0404,7,100739710,Wnt family member 8A,,WNT8A,9823.0
WTIP,110261274,57.113644,7,110261274,WT1 interacting protein,,WTIP,9823.0
XCL1,100153155,61.58028,7,100153155,chemokine (C motif) ligand 1,,XCL1,9823.0
XCR1,414375,55.800247,7,414375,X-C motif chemokine receptor 1,,XCR1,9823.0
XDH,100515259,55.910397,7,100515259,xanthine dehydrogenase,,XDH,9823.0
XPO4,100519559,55.27279,7,100519559,exportin 4,,XPO4,9823.0
XYLT1,100514160,55.135635,7,100514160,xylosyltransferase 1,,XYLT1,9823.0
YIF1A,100521064,56.77401,7,100521064,"Yip1 interacting factor homolog A, membrane trafficking protein",,YIF1A,9823.0
YPEL4,100520717,56.899704,7,100520717,yippee like 4,,YPEL4,9823.0
ZBTB32,100627119,58.359303,7,100627119,zinc finger and BTB domain containing 32,,ZBTB32,9823.0
ZDBF2,100157334,58.19604,7,100157334,zinc finger DBF-type containing 2,,ZDBF2,9823.0
ZDHHC13,100736787,52.777386,7,100736787,zinc finger DHHC-type palmitoyltransferase 13,,ZDHHC13,9823.0
ZDHHC23,100515099,55.838356,7,100515099,zinc finger DHHC-type palmitoyltransferase 23,,ZDHHC23,9823.0
ZDHHC7,100514104,53.91438,7,100514104,zinc finger DHHC-type palmitoyltransferase 7,,ZDHHC7,9823.0
ZFAND2A,100521185,54.95015,7,100521185,zinc finger AN1-type containing 2A,,ZFAND2A,9823.0
ZFAND4,100152192,54.746746,7,100152192,zinc finger AN1-type containing 4,,ZFAND4,9823.0
ZFPM2,100337657,55.792877,7,100337657,"zinc finger protein, FOG family member 2",,ZFPM2,9823.0
ZIC2,100622978,57.16092,7,100622978,Zic family member 2,,ZIC2,9823.0
ZIC5,100153729,56.58176,7,100153729,Zic family member 5,,ZIC5,9823.0
ZMIZ1,100153816,55.8863,7,100153816,zinc finger MIZ-type containing 1,,ZMIZ1,9823.0
ZMYM2,100625825,54.452866,7,100625825,zinc finger MYM-type containing 2,,ZMYM2,9823.0
ZMYND15,100513818,57.711796,7,100513818,zinc finger MYND-type containing 15,,ZMYND15,9823.0
ZNF12,100520374,58.403908,7,100520374,zinc finger protein 12,,ZNF12,9823.0
ZNF174,100520731,60.062595,7,100520731,zinc finger protein 174,,ZNF174,9823.0
ZNF18,100518217,58.958828,7,100518217,zinc finger protein 18,,ZNF18,9823.0
ZNF282,100520117,58.519417,7,100520117,zinc finger protein 282,,ZNF282,9823.0
ZNF287,100524396,59.563313,7,100524396,zinc finger protein 287,,ZNF287,9823.0
ZNF35,110255278,60.6958,7,110255278,zinc finger protein 35,,ZNF35,9823.0
ZNF385A,100736804,58.463654,7,100736804,zinc finger protein 385A,,ZNF385A,9823.0
ZNF446,110261336,60.178394,7,110261336,zinc finger protein 446,,ZNF446,9823.0
ZNF48,100621309,59.793243,7,100621309,zinc finger protein 48,,ZNF48,9823.0
ZNF510,102164126,59.77742,7,102164126,zinc finger protein 510,,ZNF510,9823.0
ZNF513,100739726,57.233,7,100739726,zinc finger protein 513,,ZNF513,9823.0
ZNF567,100525521,59.7125,7,100525521,zinc finger protein 567,,ZNF567,9823.0
ZNF646,100523240,56.141914,7,100523240,zinc finger protein 646,,ZNF646,9823.0
ZNF662,100155776,61.604115,7,100155776,zinc finger protein 662,,ZNF662,9823.0
ZNF70,100157520,61.632084,7,100157520,zinc finger protein 70,,ZNF70,9823.0
ZNF777,100520285,58.04589,7,100520285,zinc finger protein 777,,ZNF777,9823.0
ZNF786,100624957,59.55731,7,100624957,zinc finger protein 786,,ZNF786,9823.0
ZNF804A,100524346,56.714027,7,100524346,zinc finger protein 804A,,ZNF804A,9823.0
ZNF804B,100518029,57.1814,7,100518029,zinc finger protein 804B,,ZNF804B,9823.0
ZPLD1,100153011,57.817604,7,100153011,zona pellucida like domain containing 1,,ZPLD1,9823.0
ZPR1,100522090,53.579506,7,100522090,ZPR1 zinc finger,,ZPR1,9823.0
ZSWIM5,100514968,59.499657,7,100514968,zinc finger SWIM-type containing 5,,ZSWIM5,9823.0
ZYG11A,100516616,58.23723,7,100516616,"zyg-11 family member A, cell cycle regulator",,ZYG11A,9823.0
